estado,alertas,area_total,media_area
BA,35,6303.028335120343,180.08652386058125
GO,86,14847.04024314608,172.64000282728
MA,35,4753.718461093317,135.82052745980906
MT,67,11843.170815264604,176.763743511412
PI,43,7621.351421210181,177.24073072581817
TO,34,5703.037176366962,167.73638754020476
